dataset,iters,norm,ndcg
MSLR_WEB10K,1,normalized,0.201218182
MSLR_WEB10K,1,unnormalized,0.1806
MSLR_WEB10K,2,normalized,0.192095854
MSLR_WEB10K,2,unnormalized,0.18054
MSLR_WEB10K,3,normalized,0.234571082
MSLR_WEB10K,3,unnormalized,0.18046
MSLR_WEB10K,4,normalized,0.256020319
MSLR_WEB10K,4,unnormalized,0.1805
MSLR_WEB10K,5,normalized,0.228425802
MSLR_WEB10K,5,unnormalized,0.18052
MSLR_WEB10K,6,normalized,0.283035542
MSLR_WEB10K,6,unnormalized,0.18046
MSLR_WEB10K,7,normalized,0.298415376
MSLR_WEB10K,7,unnormalized,0.18052
MSLR_WEB10K,8,normalized,0.289266714
MSLR_WEB10K,8,unnormalized,0.18044
MSLR_WEB10K,9,normalized,0.317975518
MSLR_WEB10K,9,unnormalized,0.18046
MSLR_WEB10K,10,normalized,0.335999515
MSLR_WEB10K,10,unnormalized,0.18042
MSLR_WEB10K,11,normalized,0.390874345
MSLR_WEB10K,11,unnormalized,0.18046
MSLR_WEB10K,12,normalized,0.390835552
MSLR_WEB10K,12,unnormalized,0.18046
MSLR_WEB10K,13,normalized,0.399327038
MSLR_WEB10K,13,unnormalized,0.18044
MSLR_WEB10K,14,normalized,0.432042942
MSLR_WEB10K,14,unnormalized,0.18054
MSLR_WEB10K,15,normalized,0.429190792
MSLR_WEB10K,15,unnormalized,0.18046
MSLR_WEB10K,16,normalized,0.433106381
MSLR_WEB10K,16,unnormalized,0.18044
MSLR_WEB10K,17,normalized,0.436301024
MSLR_WEB10K,17,unnormalized,0.18048
MSLR_WEB10K,18,normalized,0.443942357
MSLR_WEB10K,18,unnormalized,0.18044
MSLR_WEB10K,19,normalized,0.44248565
MSLR_WEB10K,19,unnormalized,0.18052
MSLR_WEB10K,20,normalized,0.443058471
MSLR_WEB10K,20,unnormalized,0.18046
MSLR_WEB10K,21,normalized,0.443268918
MSLR_WEB10K,21,unnormalized,0.18052
MSLR_WEB10K,22,normalized,0.44328
MSLR_WEB10K,22,unnormalized,0.18042
MSLR_WEB10K,23,normalized,0.44314
MSLR_WEB10K,23,unnormalized,0.18054
