dataset,iters,norm,ndcg
MSLR_WEB30K,2,unnormalized,0.18304
MSLR_WEB30K,2,normalized,0.183
MSLR_WEB10K,2,unnormalized,0.18056
MSLR_WEB10K,2,normalized,0.18056
MSLR_WEB30K,4,unnormalized,0.18292
MSLR_WEB30K,4,normalized,0.18288
MSLR_WEB10K,4,unnormalized,0.18042
MSLR_WEB10K,4,normalized,0.18042
MSLR_WEB30K,6,unnormalized,0.18292
MSLR_WEB30K,6,normalized,0.18292
MSLR_WEB10K,6,unnormalized,0.18052
MSLR_WEB10K,6,normalized,0.18054
MSLR_WEB30K,8,unnormalized,0.18292
MSLR_WEB30K,8,normalized,0.18292
MSLR_WEB10K,8,unnormalized,0.18054
MSLR_WEB10K,8,normalized,0.18048
MSLR_WEB30K,10,unnormalized,0.18292
MSLR_WEB30K,10,normalized,0.18292
MSLR_WEB10K,10,unnormalized,0.18052
MSLR_WEB10K,10,normalized,0.18044
MSLR_WEB30K,12,unnormalized,0.18292
MSLR_WEB30K,12,normalized,0.18292
MSLR_WEB10K,12,unnormalized,0.18044
MSLR_WEB10K,12,normalized,0.18044
MSLR_WEB30K,14,unnormalized,0.18288
MSLR_WEB30K,14,normalized,0.18292
MSLR_WEB10K,14,unnormalized,0.18054
MSLR_WEB10K,14,normalized,0.18054
MSLR_WEB30K,16,unnormalized,0.18292
MSLR_WEB30K,16,normalized,0.18292
MSLR_WEB10K,16,unnormalized,0.18052
MSLR_WEB10K,16,normalized,0.18044
MSLR_WEB30K,18,unnormalized,0.18292
MSLR_WEB30K,18,normalized,0.18292
MSLR_WEB10K,18,unnormalized,0.18042
MSLR_WEB10K,18,normalized,0.18046
MSLR_WEB30K,20,unnormalized,0.18292
MSLR_WEB30K,20,normalized,0.18292
MSLR_WEB10K,20,unnormalized,0.18054
MSLR_WEB10K,20,normalized,0.18046
MSLR_WEB30K,22,unnormalized,0.18292
MSLR_WEB30K,22,normalized,0.18292
MSLR_WEB10K,22,unnormalized,0.18052
MSLR_WEB10K,22,normalized,0.18044
MSLR_WEB30K,24,unnormalized,0.18292
MSLR_WEB30K,24,normalized,0.18292
MSLR_WEB10K,24,unnormalized,0.18052
MSLR_WEB10K,24,normalized,0.18046
MSLR_WEB30K,26,unnormalized,0.18292
MSLR_WEB30K,26,normalized,0.18292
MSLR_WEB10K,26,unnormalized,0.18042
MSLR_WEB10K,26,normalized,0.18048
MSLR_WEB30K,28,unnormalized,0.18292
MSLR_WEB30K,28,normalized,0.18292
MSLR_WEB10K,28,unnormalized,0.18046
MSLR_WEB10K,28,normalized,0.1805
MSLR_WEB30K,30,unnormalized,0.18292
MSLR_WEB30K,30,normalized,0.18292
MSLR_WEB10K,30,unnormalized,0.18046
MSLR_WEB10K,30,normalized,0.18052
MSLR_WEB30K,32,unnormalized,0.18292
MSLR_WEB30K,32,normalized,0.18292
MSLR_WEB10K,32,unnormalized,0.18046
MSLR_WEB10K,32,normalized,0.18044
MSLR_WEB30K,34,unnormalized,0.18292
MSLR_WEB30K,34,normalized,0.18292
MSLR_WEB10K,34,unnormalized,0.18042
MSLR_WEB10K,34,normalized,0.18054
MSLR_WEB30K,36,unnormalized,0.18288
MSLR_WEB30K,36,normalized,0.18292
MSLR_WEB10K,36,unnormalized,0.18054
MSLR_WEB10K,36,normalized,0.18052
MSLR_WEB30K,38,unnormalized,0.18292
MSLR_WEB30K,38,normalized,0.18292
MSLR_WEB10K,38,unnormalized,0.18042
MSLR_WEB10K,38,normalized,0.18046
MSLR_WEB30K,40,unnormalized,0.18292
MSLR_WEB30K,40,normalized,0.18292
MSLR_WEB10K,40,unnormalized,0.18042
MSLR_WEB10K,40,normalized,0.18044
MSLR_WEB30K,42,unnormalized,0.18292
MSLR_WEB30K,42,normalized,0.18292
MSLR_WEB10K,42,unnormalized,0.18054
MSLR_WEB10K,42,normalized,0.18046
MSLR_WEB30K,44,unnormalized,0.18292
MSLR_WEB30K,44,normalized,0.18292
MSLR_WEB10K,44,unnormalized,0.18052
MSLR_WEB10K,44,normalized,0.18054
MSLR_WEB30K,46,unnormalized,0.18288
MSLR_WEB30K,46,normalized,0.18288
