,OHSUMED,TD2003,TD2004,NP2003,NP2004,HP2003,HP2004,MQ2007,MQ2008,MSLR-WEB10k,MSLR-WEB30k,Yandex IMC,AOL,,Comments
Regression,0.422,0.2409,0.2078,0.5644,0.5142,0.4968,0.5256,,,,,,,,
RankSVM,0.4334,0.2628,0.2237,0.6957,0.6588,0.7408,0.6675,0.4659,,,,,,,MQ2007 measurement in RankCSA
RankBoost,0.4411,0.2274,0.2614,0.7074,0.564,0.733,0.6251,0.4718,,,,,,,MQ2007 measurement in RankCSA
FRank,0.4439,0.2031,0.2388,0.664,0.6008,0.7095,0.6817,,,,,,,,
ListNet,0.4457,0.2753,0.2231,0.6895,0.672,0.7659,0.6899,0.4671,,,,,,,MQ2007 measurement in RankCSA
AdaRank-MAP,0.4487,0.2283,0.2189,0.6783,0.622,0.771,0.7219,0.4597,,,,,,,MQ2007 measurement in RankCSA
AdaRank-NDCG,0.4498,0.2368,0.1936,0.6678,0.6269,0.748,0.6914,0.4606,,,,,,,MQ2007 measurement in RankCSA
SVMMAP,0.4453,0.2445,0.2049,0.6869,0.662,0.7421,0.7176,,,,,,,,
RankIP,0.4584,0.2404,0.4009,,,,,,,,,,,,
RankGP,0.4506,0.1342,,,,,,,,,,,,,measurements in RankIP
KeepRank,0.45,0.28,0.23,,,,,,,,,,,,
LAC-MR-OR,0.456,0.288,0.263,0.708,0.675,0.756,0.696,,,,,,,,
MultiStageBoost,,,,,0.57,,0.64,,,,,,,,
RankCSA,0.4647,,,,,,,0.4841,,,,,,,
SmoothRank,,,0.2326,,,,,,,,,,,,
BoltzRank-Single,0.4522,0.2236,,,,,,,,,,,,,
BoltzRank-Pair,0.4604,0.239,0.239,,,,,,,,,,,,measurements in BL-MART
BagBoo,,,0.2499,,,,,0.4676,,,,,,,measurements in BL-MART
LambdaMART,,,0.2513,,,,,0.4684,,0.3684,,,,,measurements in BL-MART
CRR,,,,,,,,0.466,,,,,,,
BL-MART,,,0.2649,,,,,0.4726,,0.3696,,,,,
