,LETOR 2.0 OHSUMED,LETOR 3.0 OHSUMED,LETOR 2.0 TD2003,LETOR 3.0 TD2003,LETOR 2.0 TD2004,LETOR 3.0 TD2004,NP2003,NP2004,HP2003,HP2004,MQ2007,MQ2008,MSLR-WEB10k,MSLR-WEB30k,Yandex IMC,AOL,Yahoo Set 1,Yahoo Set 2,,Comments
ListNet,0.4662,0.4432,0.381977,0.3393,0.420914,0.3325,0.7843,0.7965,0.8298,0.7694,0.417,0.4747,,,,,,,,
L2 Regression,,0.4568,,0.3381,,0.2917,0.7887,0.7774,0.8142,0.6979,,,,,,,,,,
RankSVM-Primal,,0.46899,,0.3659,,0.3026,0.7748,0.7719,0.8081,0.7528,,,,,,,,,,
RankSVM-Struct,,0.4729,,0.3654,,0.3192,0.7789,0.7746,0.8074,0.7523,0.41426,0.46954,,,,,,,,
SmoothRank,,0.4776,,0.3345,,0.3555,0.7892,0.7825,0.8287,0.8169,,,,,,,,,,
AdaRank-NDCG,0.442196,0.4673,0.3256,0.2939,0.3769,0.3514,0.7447,0.7122,0.8006,0.792,0.4102,0.4821,,,,,,,,
AdaRank-MAP,0.455381,0.4613,0.2424,0.3029,0.3932,0.3602,0.7482,0.731,0.8252,0.8277,0.407,0.4794,,,,,,,,
RankBoost,,0.4494,0.279,0.3149,,0.3878,0.7818,0.6512,0.8034,0.7211,0.4183,0.4666,,,,,,,,LETOR 2.0 TD2003 measurement in Rank-PMBGP
Regression,,0.4278,,0.2984,,0.3257,0.6423,0.6135,0.5463,0.613,0.4111,0.4773,,,,,,,,LETOR 4.0 measurements in KL-CRF
RankSVM,0.4579,0.4164,0.3473,0.3621,0.3935,0.324,0.7823,0.7957,0.7954,0.7512,,,,,,0.647,,,,
SVMMAP,,0.4516,,0.3318,,0.3007,0.7881,0.7869,0.7922,0.8011,,,,,,,,,,
FRank,0.468819,0.4588,0.330299,0.2468,0.436166,0.3629,0.7595,0.687,0.778,0.7486,,,,,,,,,,
BL-MART,,,,,,0.3886,,,,,,,,,,,,,,
BoltzRank-Single,,0.4876,,,,0.3591,,,,,0.4208,0.4784,,,,,,,,
BoltzRank-Pair,,0.491,,,,0.3635,,,,,0.4229,0.4849,,,,,,,,
FBPCRank,,0.4799,,,,0.3556,,,,,,0.4716,,,,,,,,
FocusedSVM,,,,0.3235,,,,,,,0.4123,,,,,,,,,
FocusedBoost,,,,0.3346,,,,,,,0.4164,,,,,,,,,
FocusedNet,,,,0.3507,,,,,,,0.4191,,,,,,,,,
FPRank,,,,,,,,,,,,0.4832,,,,,,,,
KL-CRF,,,,,,,,,,,0.4175,0.4784,,,,,,,,
ApproxNDCG,,0.4794,,,,,,,,,,,,,,,,,,
SoftRank,,0.458,,,,,,,,,,,,,,,,,,OHSUMED measurements in ApproxNDCG
DCMP,,0.451,,0.33,,0.339,0.803,0.793,0.823,0.794,0.42,0.478,,,,,,,,
EnergyNDCG,,0.459,,,,,,,,,,,,,,0.66,,,,
SortNet,,,0.33,,0.55,,,,,,,,,,,0.658,,,,AOL measurement uit EnergyNDCG
IntervalRank,,0.4609,,,,,,,,,,,,,,,,,,
Kernel-PCA,,0.442,,0.3226,,0.3703,,,,,,,,,,,,,,
LARF,0.592,,0.542,,0.582,,,,,,,,,,,,,,,
IPRank,0.481,,0.361,,0.467,,,,,,,,,,,,,,,measurements in LARF
GPRank,0.471,,0.365,,0.416,,,,,,,,,,,,,,,measurements in LARF
ListReg,,0.4913,,0.354,,0.3474,,,,,,,,,,,,,,
LRUF,,0.6,,0.481,,0.543,,,,,0.489,,,,,,,,,
PERF-MAP,,0.442,,0.26,,0.405,,,,,0.415,,,,,,,,,measurements in LRUF
NewLoss,,0.4594,,0.3153,,0.394,,,,,,,,,,,,,,
Pointwise RankELM,,0.4782,,,,,,,,,,,,,,,,,,
Pairwise RankELM,,0.4755,,,,,,,,,,,,,,,,,,
Ranking Committee Perceptron,0.464,,0.371,,0.403,,,,,,,,,,,,,,,Com 30 B is aangehouden
REG-SHF-SDCG,,0.4634,,,,,,,,,,,,,,,,,,
SparseRank,,0.4782,,0.3678,,,,0.7967,,0.8036,,,,,,,,,,
FenchelRank,,0.4826,,0.3548,,,,0.7808,,0.8181,,0.479,,,,,,,,LETOR 3.0 TD2003 measurement in SparseRank
SVD-RankBoost,0.4529,,0.2761,,0.4368,,,,,,,,,,,,,,,
LambdaNeuralRank,,,,,,,,,,,,,,,,0.662,,,,
RankNet,,,,,,,,,,,,,,,,0.452,,,,AOL measurement in LambdaNeuralRank
LambdaRank,,,,,,,,,,,,,,,,0.644,,,,AOL measurement in LambdaNeuralRank
BagBoo,,,,,,0.408,,,,,,,,,,,,,,TD2004 measurement in BL-MART
MHR,0.46709,,,,,,,,,,,,,,,,,,,
BT,0.4759,,0.3487,,0.4372,,,,,,,,,,,,,,,
TM,0.4714,,0.3583,,0.4363,,,,,,,,,,,,,,,
C-CRF,0.4808,,,,0.4428,,,,,,,,,,,,,,,
SwarmRank,,,0.278,,,,,,,,,,,,,,,,,
RankDE,,,0.336,,,,,,,,,,,,,,,,,
Rank-PMBGP,,,0.353,,,,,,,,,,,,,,,,,
CoList,,,,,,,,,,,,,,,,,,0.665,,
TGRank,,0.4813,,,,,,0.7878,,0.7762,,0.4712,,,,,,,,measurements in FenchelRank
RSRank,,0.4684,,,,,,0.7905,,0.7915,,0.4734,,,,,,,,measurements in FenchelRank
FSMRank,,0.4824,,,,,,0.8,,0.8187,,0.4791,,,,,,,,
GAS-E,,0.472,,,,,,0.7617,,0.7679,,0.4772,,,,,,,,measurements in FSMRank
FSMSVM,,0.464,,,,,,0.783,,0.7635,,0.4701,,,,,,,,measurements in FSMRank
