method_id,method,all,,LETOR 2.0 OHSUMED,,LETOR 3.0 OHSUMED,,LETOR 2.0 TD2003,,LETOR 3.0 TD2003,,LETOR 2.0 TD2004,,LETOR 3.0 TD2004,,NP2003,,NP2004,,HP2003,,HP2004,,MQ2007,,MQ2008,,MSLR-WEB10k,,MSLR-WEB30k,,Yandex IMC,,AOL,,Yahoo Set 1,,Yahoo Set 2,,WCL2R FS,,WCL2R NC,,,Mean,,Std. Dev,,Median,,Q1,,Q3,,Max,,Min,
,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN
1,AdaRank-MAP,940,0.35531915,899,0.3592881,786,0.36005089,893,0.37290034,825,0.38181818,902,0.36585366,830,0.35180723,885,0.36610169,858,0.36713287,885,0.3220339,858,0.2972028,859,0.3806752,869,0.33831991,940,0.35531915,940,0.35531915,940,0.35531915,940,0.35531915,931,0.3566058,940,0.35531915,940,0.35531915,940,0.35531915,,893,0.355351231,45.48406314,0.018503421,896,0.35531915,858.75,0.35531915,940,0.365915668,940,0.38181818,786,0.2972028
2,AdaRank-NDCG,954,0.30922432,913,0.31872946,800,0.28,907,0.30981257,839,0.33492253,916,0.3220524,844,0.31753555,899,0.32035595,872,0.31880734,899,0.30812013,872,0.28669725,873,0.32187858,883,0.26613817,950,0.31052632,950,0.31052632,954,0.30922432,954,0.30922432,945,0.31111111,948,0.30801688,954,0.30922432,954,0.30922432,,906.3,0.309106392,44.78738662,0.015145793,910,0.310169445,872.75,0.308948273,950,0.31874893,954,0.33492253,800,0.26613817
3,ADMM,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,,,9,0.44444444,9,0.44444444,9,0.44444444,,9,0.44444444,0,5.55E-17,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444,9,0.44444444
4,ApproxAP,66,0.5,66,0.5,66,0.5,66,0.5,34,0.23529412,66,0.5,32,0.78125,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,66,0.5,,62.7,0.500827206,9.905049217,0.086358868,66,0.5,66,0.5,66,0.5,66,0.78125,32,0.23529412
5,ApproxNDCG,116,0.80172414,116,0.80172414,,,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,,116,0.80172414,0,4.44E-16,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414,116,0.80172414
6,BagBoo,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,41,0.7804878,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,87,0.74712644,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7578125,,121.6,0.758411962,20.53143931,0.005573033,128,0.7578125,128,0.7578125,128,0.7578125,128,0.7804878,41,0.74712644
7,Best Single Feature,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,132,0.18181818,161,0.16149068,138,0.06521739,147,0.17006803,140,0.18571429,146,0.17123288,140,0.15714286,139,0.17985612,145,0.17931034,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,161,0.16149068,,152.95,0.161412413,10.28822142,0.023569715,161,0.16149068,143.75,0.16149068,161,0.170359243,161,0.18571429,132,0.06521739
8,BL-MART,81,0.77777778,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,43,0.88372093,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,89,0.78651685,130,0.81538462,128,0.8125,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,130,0.81538462,,123.5,0.817213816,20.50487747,0.016499396,130,0.81538462,130,0.81538462,130,0.81538462,130,0.88372093,43,0.78651685
9,BoltzRank-Pair,351,0.72934473,351,0.72934473,233,0.63948498,351,0.72934473,319,0.78056426,351,0.72934473,264,0.76893939,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,292,0.73972603,296,0.69932432,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,351,0.72934473,,333.45,0.728410497,33.81046436,0.025746352,351,0.72934473,343,0.72934473,351,0.72934473,351,0.78056426,233,0.63948498
